"omni.pim.product","omni-pim-product"
"omni.pim.price","omni-pim-price"
"omni.pim.promo","omni-pim-promo"
"pim.bulk.upload","pim.bulk.upload.subscription"
"pim.images.upload","pim.images.upload.subscription"
"pim.product.create","pim-product-create"
"pim.product.create","pim-product-create-ims"
"pim.product.create","pim-product-create-aggregator"
"pim.product.update","pim-product-update-aggregator"
"pim.product.update","aggregator"
"pim.product.update","pim-product-update"
"pim.direct.import","pim.direct.import.subscription"
"inventory-sync","aggregator-inventory-sync"
"inventory-sync","aggregator"
"dead.letters","dead.letters.subs"
"dead.letters","aggregator"
"ctcd-omni-ns","notification-service-stg-sub"
